exp_name,layer_count,layers,steer_direction,first_half_matches_direction,steer_alpha,first_half_scale,second_half_scale,first_half_positive,second_half_negative,second_half_perplexity,first_half_positive_norm,second_half_negative_norm,inverse_ppl_norm,score_avg,score_mul
pattern_l25-31-16-24-26_a1.2_fh0.5_sh1.5,5,"25,31,16,24,26",positive,True,1.2,0.5,1.5,0.39480637151747944,0.5052956832200288,161.77571153759956,0.9610248586114752,0.7894132564171062,0.9962128827875136,0.9155503326053651,0.7557726827065281
pattern_l25-31-16-24-26_a2.4_fh1.0_sh2.0,5,"25,31,16,24,26",positive,True,2.4,1.0,2.0,0.3292654275894165,0.630923715531826,nan,0.7272546863413342,1.0,1.0,0.9090848954471115,0.7272546863413342
pattern_l25-31-16-24-26_a2.0_fh1.0_sh2.0,5,"25,31,16,24,26",positive,True,2.0,1.0,2.0,0.40322342127561567,0.45879528850317003,nan,0.9910466290352505,0.7114659502423287,1.0,0.9008375264258598,0.7050959316610211
pattern_l25-31-16_a1.2_fh1.0_sh2.5,3,"25,31,16",positive,True,1.2,1.0,2.5,0.40318153191357853,0.4356641721498454,49.11287531614303,0.990897218868219,0.6726919093006222,0.9988914330809596,0.8874935204166002,0.6658296062461145
pattern_l25-31-16-24-26_a1.2_fh0.5_sh1.0,5,"25,31,16,24,26",positive,True,1.2,0.5,1.0,0.37975895788520575,0.4474718673340976,9.69383351802826,0.9073540344485274,0.6924848172393513,0.9998286177775011,0.8665558231551266,0.6282212083143824
pattern_l25-31-16-24-26_a1.2_fh0.5_sh3.0,5,"25,31,16,24,26",positive,True,1.2,0.5,3.0,0.37257537070661784,0.44869239076972006,nan,0.881731754517691,0.6945307464085388,1.0,0.8587541669754101,0.6123898135972825
pattern_l25-31-16-24-26_a1.6_fh0.5_sh3.0,5,"25,31,16,24,26",positive,True,1.6,0.5,3.0,0.35454255249351263,0.46611951798200607,nan,0.8174126469866694,0.7237433504914536,1.0,0.8470519991593743,0.5915969678642199
pattern_l25-31-16_a1.2_fh1.0_sh2.0,3,"25,31,16",positive,True,1.2,1.0,2.0,0.3847583796083927,0.3725112338049803,10.935939265489578,0.9251858752404949,0.5668304117589821,0.9997990868085859,0.8306051246026877,0.5243181270190117
pattern_l25-31-16_a2.4_fh0.5_sh1.0,3,"25,31,16",positive,True,2.4,0.5,1.0,0.3847583796083927,0.3725112338049803,10.935939265489578,0.9251858752404949,0.5668304117589821,0.9997990868085859,0.8306051246026877,0.5243181270190117
pattern_l25-31-16_a2.4_fh0.5_sh3.0,3,"25,31,16",positive,True,2.4,0.5,3.0,0.4028400843590498,0.3390334819257259,1244.0294741058349,0.9896793503289587,0.5107125961648405,0.9704823825574994,0.823624776350433,0.49052227533083687
pattern_l25-31-16_a1.2_fh1.0_sh1.5,3,"25,31,16",positive,True,1.2,1.0,1.5,0.3971567265689373,0.31647252839175055,8.84311894416809,0.9694080595900629,0.47289430315000436,0.9998488434512713,0.8140504020637795,0.4583582544817208
pattern_l25-31-16-24-26_a1.6_fh0.5_sh1.0,5,"25,31,16,24,26",positive,True,1.6,0.5,1.0,0.3702618688438088,0.3651891147624701,6.034826710224151,0.873480000780214,0.5545565491750202,0.9999156103838251,0.8093173867796866,0.48435317717769005
pattern_l25_a1.6_fh1.0_sh2.0,1,25,positive,True,1.6,1.0,2.0,0.35733646612614395,0.39213848223094827,8.802430131435393,0.8273779241411301,0.5997310172644377,0.9998498108246745,0.8089862507434141,0.4961296796070908
pattern_l25-31-16_a2.0_fh1.0_sh1.5,3,"25,31,16",positive,True,2.0,1.0,1.5,0.36066377237439157,0.3857619553734548,109.54764289140701,0.8392456957695353,0.5890422243129118,0.997454601115316,0.8085808403992544,0.4930928305117566
pattern_l25-31-16_a2.0_fh0.5_sh1.5,3,"25,31,16",positive,True,2.0,0.5,1.5,0.3402178869955242,0.4278277795156464,456.99821910738945,0.7663197069024927,0.6595559843330385,0.9891939903043832,0.8050232271799714,0.49996905903004596
pattern_l25-31-16_a1.6_fh1.0_sh2.0,3,"25,31,16",positive,True,1.6,1.0,2.0,0.38058993466198443,0.35025259528076275,1401.824657882452,0.910317946357902,0.5295188809075707,0.9667308141611702,0.802189213808881,0.4659937766027601
pattern_l25-31-16-24-26_a2.4_fh1.0_sh1.5,5,"25,31,16,24,26",positive,True,2.4,1.0,1.5,0.315812511742115,0.45649323403835296,nan,0.679271086065281,0.7076070809726652,1.0,0.7956260556793154,0.4806570303997855
pattern_l25-31-16_a1.6_fh1.0_sh1.5,3,"25,31,16",positive,True,1.6,1.0,1.5,0.3767346096783876,0.3177325186709641,6.896096222400665,0.8965668477078423,0.47500638948108,0.9998951337672056,0.7904894569853761,0.4258303213532096
pattern_l25_a2.4_fh1.0_sh2.5,1,25,positive,True,2.4,1.0,2.5,0.37259121768176556,0.3270565209630877,115.68096210360527,0.8817882772024163,0.4906359527539051,0.9973087819212799,0.7899110039592004,0.431472710911702
pattern_l25-31-16_a1.2_fh0.5_sh2.0,3,"25,31,16",positive,True,1.2,0.5,2.0,0.31014245448226574,0.4477562963683158,11.510243270397186,0.6590472354007045,0.6929615976441242,0.9997854327749004,0.7839314219399097,0.45659643351068907
pattern_l25_a2.0_fh1.0_sh1.5,1,25,positive,True,2.0,1.0,1.5,0.37792716099880636,0.2987033234775299,6.713106181621551,0.9008204167122995,0.44310828381909834,0.9998994843413955,0.7812760616242644,0.3991208669489057
