stage,seed,vectors,layer,alpha,k,refill_steps,sampling_temp,identify_temp,target_prob,perplexity,harmonic_score,num_records
identify_temp,41,steer_vectors/diffusion-val-catdog_cat_minus_dog_val_n10_s41.pt,32,100.0,1,10,0.5,0.25,0.019189403388245464,24.26923737264815,0.02670100390802724,2100
identify_temp,41,steer_vectors/diffusion-val-catdog_cat_minus_dog_val_n10_s41.pt,32,100.0,2,10,0.5,0.25,0.02910583767775827,25.12050744964963,0.04084554847409286,2100
identify_temp,41,steer_vectors/diffusion-val-catdog_cat_minus_dog_val_n10_s41.pt,32,100.0,3,10,0.5,0.25,0.03544337831243833,24.680073779537565,0.0491638940387282,2100
identify_temp,41,steer_vectors/diffusion-val-catdog_cat_minus_dog_val_n10_s41.pt,32,100.0,4,10,0.5,0.25,0.035711007684866826,24.064018265860422,0.048953518071894166,2100
identify_temp,41,steer_vectors/diffusion-val-catdog_cat_minus_dog_val_n10_s41.pt,32,100.0,5,10,0.5,0.25,0.036751572424396035,23.47893313634963,0.05063261860210568,2100
identify_temp,41,steer_vectors/diffusion-val-catdog_cat_minus_dog_val_n10_s41.pt,32,100.0,1,10,0.5,1.0,0.01551724399478763,22.83537813084466,0.020939622155713388,2100
identify_temp,41,steer_vectors/diffusion-val-catdog_cat_minus_dog_val_n10_s41.pt,32,100.0,2,10,0.5,1.0,0.022568538670616145,23.240162936392284,0.03153731777575722,2100
identify_temp,41,steer_vectors/diffusion-val-catdog_cat_minus_dog_val_n10_s41.pt,32,100.0,3,10,0.5,1.0,0.028824565191508673,23.606771155993144,0.039563114497843284,2100
identify_temp,41,steer_vectors/diffusion-val-catdog_cat_minus_dog_val_n10_s41.pt,32,100.0,4,10,0.5,1.0,0.03423967923152326,23.488404477891468,0.04752933481333178,2100
identify_temp,41,steer_vectors/diffusion-val-catdog_cat_minus_dog_val_n10_s41.pt,32,100.0,5,10,0.5,1.0,0.036546044811183155,23.210353811695462,0.050269795077256776,2100
