exp_name,layer_count,layers,steer_direction,first_half_matches_direction,steer_alpha,first_half_scale,second_half_scale,block_length,batch_size,first_half_positive,first_half_negative,first_half_perplexity,second_half_positive,second_half_negative,second_half_perplexity,full_text_positive,full_text_negative,full_text_perplexity
pattern_l25_a1.2_fh0.5_sh1.0,1,25,positive,True,1.2,0.5,1.0,128,10,0.261678332942829,0.14570155893077755,5.616054623126984,0.35205724779718367,0.11488376093559026,8.30333002448082,0.31989005674389775,0.054357966623229004,4.647413792610169
pattern_l25_a1.2_fh0.5_sh1.5,1,25,positive,True,1.2,0.5,1.5,128,10,0.27472445120511113,0.13406901492562612,5.708159031867981,0.2661441425746307,0.1975574499357026,8.612974388599396,0.25472212142776696,0.0979042286123149,4.841464929580688
pattern_l25_a1.2_fh0.5_sh2.0,1,25,positive,True,1.2,0.5,2.0,128,10,0.2754321131395409,0.1277123391214991,5.680048642158508,0.23493259926268364,0.2837894278613385,9.829503889083862,0.2280240080715157,0.11535893894499168,5.121553504467011
pattern_l25_a1.2_fh0.5_sh2.5,1,25,positive,True,1.2,0.5,2.5,128,10,0.2665785330045037,0.12947321823972743,5.567415664196014,0.16780531137774232,0.3378327772114426,10.52156355381012,0.18456027449225076,0.1612226061639376,5.431479761600494
pattern_l25_a1.2_fh0.5_sh3.0,1,25,positive,True,1.2,0.5,3.0,128,10,0.26558108815719605,0.12400107645400567,5.671341152191162,0.1628796328311728,0.4031055904505774,11.32355804681778,0.16145632090978324,0.18098216192331165,5.756533312797546
pattern_l25_a1.2_fh1.0_sh1.0,1,25,positive,True,1.2,1.0,1.0,128,10,0.3020791655941866,0.11485667767759879,5.4240754079818725,0.3777903098240495,0.11873236121959053,7.628741127252579,0.29643737177131696,0.05984464383916929,4.574699681997299
pattern_l25_a1.2_fh1.0_sh1.5,1,25,positive,True,1.2,1.0,1.5,128,10,0.3086039873119444,0.11794269671780057,5.315182547569275,0.27320522886235266,0.20124140910804272,8.492227432727814,0.23561284640978555,0.10733946577413007,4.655786839723587
pattern_l25_a1.2_fh1.0_sh2.0,1,25,positive,True,1.2,1.0,2.0,128,10,0.32117229647934437,0.10281455021642615,5.42374632358551,0.20694339976744278,0.24073066947005187,8.75433539390564,0.20329202683118638,0.11935508341610329,4.906971472501755
pattern_l25_a1.2_fh1.0_sh2.5,1,25,positive,True,1.2,1.0,2.5,128,10,0.31753493431955576,0.10967115682491567,5.469300169944763,0.1815999775187811,0.29662563572637735,10.575743534564971,0.17890314629417844,0.12524413027247647,5.274832230806351
pattern_l25_a1.2_fh1.0_sh3.0,1,25,positive,True,1.2,1.0,3.0,128,10,0.29092950209975244,0.12913051071634982,5.542848703861236,0.17480628014425748,0.4072324270522222,10.07267022371292,0.1881106670826557,0.16872648616321384,5.539319311380386
